"","x"
"1","Between strangers"
"2","Celebrity and Haters"
"3","Between a person and their deceased spouse"
"4","Celebrity and Fans"
"5","Between ex-lovers"
"6","Ancestor and Descendant"
"7","Between a person and their social media follower"
"8","Between distant relatives"
"9","Reader and Writer"
"10","Between pen-friends"
"11","Between Facebook Friends"
"12","Between divorced spouses"
"13","Between alumni"
"14","Between second cousins"
"15","Between fans of opposing sports teams"
"16","Man Wife and Man Mistress"
"17","Between casual acquaintances"
"18","Chef and Customer"
"19","Between frenemies"
"20","Between business rivals"
"21","Between long-distance lovers"
"22","Native and Tourist"
"23","Between cousins"
"24","Politician and Supporter"
"25","Reviewer and Writer"
"26","Between fans of the same sports team"
"27","Between enemies"
"28","Victim and Criminal"
"29","Between a person and their crush"
"30","Landlord and Housekeeper"
